// SR1 Audio Analyzer: 6/2/2023 11:40:46 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
216.79099416791,4.99303105511447E-9
218.744066187441,4.21583749922563E-9
220.697138206971,5.32232196406162E-9
222.650210226502,6.07583741804308E-9
224.603282246033,5.64028339866326E-9
226.556354265564,4.96911646152378E-9
228.509426285094,4.71098875041996E-9
230.462498304625,4.48012455350172E-9
232.415570324156,3.99372895804211E-9
234.368642343686,4.02407567480494E-9
236.321714363217,4.93271710763806E-9
238.274786382748,5.02256000105236E-9
240.227858402279,5.10079406100457E-9
242.180930421809,5.29700647302142E-9
244.13400244134,4.99950196662149E-9
246.087074460871,5.43632585812878E-9
248.040146480402,6.87423230331989E-9
249.993218499932,7.46841246785611E-9
251.946290519463,5.90885358824643E-9
253.899362538994,5.16899639311105E-9
255.852434558524,7.26644823906487E-9
257.805506578055,8.02724837302296E-9
259.758578597586,6.67803970478735E-9
261.711650617117,5.13242555284403E-9
263.664722636647,5.28795436319858E-9
265.617794656178,6.04934417665223E-9
267.570866675709,6.00986028456972E-9
269.523938695239,5.42246409864879E-9
271.47701071477,4.83854827773265E-9
273.430082734301,4.38227542778009E-9
275.383154753832,4.60440226889077E-9
277.336226773362,5.74768018860051E-9
279.289298792893,6.41755680361903E-9
281.242370812424,5.76255293259129E-9
283.195442831954,4.40343610587029E-9
285.148514851485,3.70087785587919E-9
287.101586871016,4.36968623023072E-9
289.054658890547,5.20065046194443E-9
291.007730910077,5.63923913677694E-9
292.960802929608,6.04877107919987E-9
294.913874949139,5.83630101627883E-9
296.86694696867,5.72372016088418E-9
298.8200189882,7.1663269516397E-9
300.773091007731,8.36709150934566E-9
302.726163027262,7.94854776561154E-9
304.679235046792,6.30467500045168E-9
306.632307066323,4.69872519025507E-9
308.585379085854,4.40542214845501E-9
310.538451105385,5.1984009641495E-9
312.491523124915,6.38162911699431E-9
314.444595144446,6.64231684808362E-9
316.397667163977,6.00383307612902E-9
318.350739183507,4.92712326934826E-9
320.303811203038,4.19539081103656E-9
322.256883222569,4.38699732420756E-9
324.2099552421,4.19778221301044E-9
326.16302726163,3.47481263229063E-9
328.116099281161,3.61134004642012E-9
330.069171300692,4.37407119198259E-9
332.022243320222,4.74116644534227E-9
333.975315339753,4.51922103168413E-9
335.928387359284,4.17602606776141E-9
337.881459378815,4.53342669988948E-9
339.834531398345,4.40246423194039E-9
341.787603417876,3.55868772514406E-9
343.740675437407,3.41149805480509E-9
345.693747456937,5.52355455210275E-9
347.646819476468,7.00267140506496E-9
349.599891495999,6.38742171330966E-9
351.55296351553,4.81394589319545E-9
353.50603553506,4.33024353398921E-9
355.459107554591,5.22306034995952E-9
357.412179574122,5.4658684706181E-9
359.365251593653,5.63881703411943E-9
361.318323613183,7.28263235138151E-9
363.271395632714,8.7489024735489E-9
365.224467652245,8.16767292593235E-9
367.177539671775,6.29183412463677E-9
369.130611691306,5.324315285175E-9
371.083683710837,4.87955342571783E-9
373.036755730368,3.49536589819467E-9
374.989827749898,2.77047366590216E-9
376.942899769429,4.61619092800271E-9
378.89597178896,6.64659335421415E-9
380.84904380849,7.31829387219664E-9
382.802115828021,6.47721658050643E-9
384.755187847552,5.66266114897391E-9
386.708259867083,5.62759122835911E-9
388.661331886613,5.94955392727148E-9
390.614403906144,6.23432816448212E-9
392.567475925675,5.84046534962284E-9
394.520547945206,5.04223165545391E-9
396.473619964736,4.5455989768187E-9
398.426691984267,4.90807165079529E-9
400.379764003798,5.53926313571565E-9
402.332836023328,5.35915158391537E-9
404.285908042859,4.91473214295105E-9
406.23898006239,5.29478119460142E-9
408.192052081921,5.4623400512997E-9
410.145124101451,4.63383443122866E-9
412.098196120982,3.78285922316011E-9
414.051268140513,3.95771815675812E-9
416.004340160043,4.24870578938159E-9
417.957412179574,4.33816269108708E-9
419.910484199105,5.30094712782667E-9
421.863556218636,6.74475186334461E-9
423.816628238166,6.78706575095057E-9
425.769700257697,5.48799585602203E-9
427.722772277228,5.07061978303842E-9
429.675844296758,5.73492758078888E-9
431.628916316289,5.90292434978312E-9
433.58198833582,5.64421146297842E-9
435.535060355351,4.90786387433715E-9
437.488132374881,4.05358132244618E-9
439.441204394412,3.9439470296753E-9
441.394276413943,4.50949892376227E-9
443.347348433473,5.53519553461813E-9
445.300420453004,6.44700601312288E-9
447.253492472535,6.55275224837141E-9
449.206564492066,5.77210734060104E-9
451.159636511596,4.64289965336755E-9
453.112708531127,3.79929636929903E-9
455.065780550658,3.08802216871878E-9
457.018852570189,2.90598128664186E-9
458.971924589719,3.70548848669654E-9
460.92499660925,4.61372165053656E-9
462.878068628781,4.76413349572306E-9
464.831140648311,4.91343225656922E-9
466.784212667842,5.6966268194101E-9
468.737284687373,6.32791043347725E-9
470.690356706904,6.70546783262502E-9
472.643428726434,6.64834958523512E-9
474.596500745965,6.17508635810233E-9
476.549572765496,5.54121036598152E-9
478.502644785026,3.92789264958286E-9
480.455716804557,3.73790421745572E-9
482.408788824088,5.80425041167717E-9
484.361860843619,7.05829306620184E-9
486.314932863149,7.396324719788E-9
488.26800488268,7.21092282531259E-9
490.221076902211,6.24827121662081E-9
492.174148921742,4.77275003855299E-9
494.127220941272,3.87716652993605E-9
496.080292960803,4.06581009646297E-9
498.033364980334,4.50540860467929E-9
499.986436999864,4.575703841077E-9
501.939509019395,4.51581407606921E-9
503.892581038926,4.70129786800814E-9
505.845653058457,5.56365794419556E-9
507.798725077987,6.45573043459352E-9
509.751797097518,6.49179230761502E-9
511.704869117049,5.63815059377123E-9
